P1T1	P2T1	P1T2	P2T2	Score1	Score2
159	69	174		3	4
174	159	69		4	1
66	139	70	7	3	5
66	139	7	70	3	5
70	66	139	7	2	5
70	66	7	139	1	5
66	7	139	70	0	5
7	66	139	70	2	5
159		146		4	5
174		48		5	4
32		159		2	5
146		174		1	5
48		32		4	5
159		174		2	5
32		146		5	0
48		159		5	0
174		32		3	5
146		48		0	5
66		7		5	3
70		139		1	5
7		70		2	5
139		25		5	1
66		70		3	5
25		7		5	2
139		66		5	0
70		25		5	4
7		139		1	5
159	146	32	174	4	1
48	174	146	159	3	4
159	146	32	48	4	1
48	32	174	159	4	1
146	174	32	48	2	4
174	159	146	32	4	3
146	48	174	159	4	2
32		188		2	3
159		192		3	0
159		32		1	3
188		192		3	0
159		146		1	3
48		32		3	0
174		188		3	1
189		192		3	0
146		48		2	3
174		189		1	3
48		189		3	1
146		174		1	3
48		66		6	7
175		78		6	7
146		48		1	5
66		175		1	5
78		146		5	3
48		175		2	5
146		66		1	5
78		48		5	4
175		146		3	5
66		78		2	5
48	175	78	66	1	4
101	66	175	48	4	3
48	175	78	101	4	3
101	78	66	48	4	0
175	66	78	101	2	4
66	48	175	78	4	3
175	101	48	66	3	4
48	78	101	175	4	2
66	101	48	78	4	0
78	175	101	66	2	4
78	48	175	66	4	2
66	175	48	101	4	0
101	48	175	78	4	1
78	66	48	101	4	2
101	175	66	78	0	4
